Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Time@Edge(1)
,,,2023-05-18 20:36:21.213,4.864E-08
,,,2023-05-18 20:36:21.854,5.0533E-08
,,,2023-05-18 20:36:22.496,5.2336E-08
,,,2023-05-18 20:36:23.137,4.9827E-08
,,,2023-05-18 20:36:23.777,4.8263E-08
,,,2023-05-18 20:36:24.413,4.7372E-08
,,,2023-05-18 20:36:25.057,5.0745E-08
,,,2023-05-18 20:36:25.696,4.9948E-08
,,,2023-05-18 20:36:26.339,5.1126E-08
,,,2023-05-18 20:36:26.978,4.847E-08
,,,2023-05-18 20:36:27.616,5.0157E-08
,,,2023-05-18 20:36:28.256,4.7709E-08
,,,2023-05-18 20:36:28.899,4.8347E-08
,,,2023-05-18 20:36:29.535,4.9331E-08
,,,2023-05-18 20:36:30.178,5.1284E-08
,,,2023-05-18 20:36:30.818,5.1379E-08
,,,2023-05-18 20:36:31.457,4.9311E-08
,,,2023-05-18 20:36:32.095,5.1224E-08
,,,2023-05-18 20:36:32.734,4.9833E-08
,,,2023-05-18 20:36:33.371,4.75E-08
,,,2023-05-18 20:36:34.014,4.9523E-08
,,,2023-05-18 20:36:34.651,5.1229E-08
,,,2023-05-18 20:36:35.278,5.0163E-08
,,,2023-05-18 20:36:35.909,4.9294E-08
,,,2023-05-18 20:36:36.549,4.7067E-08
,,,2023-05-18 20:36:37.173,5.1111E-08
,,,2023-05-18 20:36:37.809,4.9592E-08
,,,2023-05-18 20:36:38.447,4.9229E-08
,,,2023-05-18 20:36:39.090,4.9749E-08
,,,2023-05-18 20:36:39.725,4.9421E-08
,,,2023-05-18 20:36:40.360,4.9954E-08
,,,2023-05-18 20:36:40.991,5.1707E-08
,,,2023-05-18 20:36:41.638,5.031E-08
,,,2023-05-18 20:36:42.274,4.9572E-08
,,,2023-05-18 20:36:42.912,4.9399E-08
,,,2023-05-18 20:36:43.554,4.8776E-08
,,,2023-05-18 20:36:44.192,4.9038E-08
,,,2023-05-18 20:36:44.830,4.775E-08
,,,2023-05-18 20:36:45.472,5.2102E-08
,,,2023-05-18 20:36:46.115,4.9776E-08
,,,2023-05-18 20:36:46.755,4.9249E-08
,,,2023-05-18 20:36:47.401,5.1105E-08
,,,2023-05-18 20:36:48.039,4.9114E-08
,,,2023-05-18 20:36:48.677,4.8616E-08
,,,2023-05-18 20:36:49.320,4.857E-08
,,,2023-05-18 20:36:49.956,5.0538E-08
,,,2023-05-18 20:36:50.593,5.0214E-08
